description,code,type
Farry Industries Ltd. EOD Prices,BOM531252,BSE
Fast Track Entertainment Ltd. EOD Prices,BOM532084,BSE
Faze Three Ltd.-$ EOD Prices,BOM530079,BSE
Fcs Software Solutions Ltd. EOD Prices,BOM532666,BSE
Fdc Ltd. EOD Prices,BOM531599,BSE
Fe (india) Ltd EOD Prices,BOM530863,BSE
Fedders Lloyd Corporation Ltd. EOD Prices,BOM500139,BSE
Federal Bank Ltd. EOD Prices,BOM500469,BSE
Federal-mogul Goetze (india) Ltd. EOD Prices,BOM505744,BSE
Fenoplast Ltd.-$ EOD Prices,BOM526689,BSE
Ferro Alloys Corporation Ltd. EOD Prices,BOM500141,BSE
Fertilizers & Chemicals Travancore Ltd. EOD Prices,BOM590024,BSE
Fervent Synergies Ltd. EOD Prices,BOM533896,BSE
Fgp Ltd. EOD Prices,BOM500142,BSE
Fiberweb (india) Ltd. EOD Prices,BOM507910,BSE
Fiem Industries Ltd. EOD Prices,BOM532768,BSE
Filatex Fashions Ltd. EOD Prices,BOM532022,BSE
Filatex India Ltd.-$ EOD Prices,BOM526227,BSE
Filmcity Media Ltd. EOD Prices,BOM531486,BSE
Filtra Consultants And Engineers Ltd EOD Prices,BOM539098,BSE
Filtron Engineers Ltd. EOD Prices,BOM531191,BSE
Finalysis Credit & Guarantee Co.ltd. EOD Prices,BOM531820,BSE
Financial Technologies (india) Ltd. EOD Prices,BOM526881,BSE
Finaventure Capital Ltd. EOD Prices,BOM512219,BSE
Fine-line Circuits Ltd. EOD Prices,BOM517264,BSE
Fineotex Chemical Ltd. EOD Prices,BOM533333,BSE
Finkurve Financial Services Ltd EOD Prices,BOM508954,BSE
Finolex Cables Ltd. EOD Prices,BOM500144,BSE
Finolex Industries Ltd. EOD Prices,BOM500940,BSE
Fintech Communications Ltd. EOD Prices,BOM531754,BSE
First Custodian Fund (india) Ltd. EOD Prices,BOM511122,BSE
First Financial Services Ltd. EOD Prices,BOM511369,BSE
First Leasing Co.of India Ltd. EOD Prices,BOM500145,BSE
First Winner Industries Ltd. EOD Prices,BOM532996,BSE
Firstobject Technologies Ltd. EOD Prices,BOM532379,BSE
Firstsource Solutions Ltd. EOD Prices,BOM532809,BSE
Fischer Chemic Ltd. EOD Prices,BOM524743,BSE
Five X Finance & Investment Ltd EOD Prices,BOM536751,BSE
Flawless Diamond (india) Ltd. EOD Prices,BOM523576,BSE
Flex Foods Ltd.-$ EOD Prices,BOM523672,BSE
Flexituff International Ltd. EOD Prices,BOM533638,BSE
Flora Textiles Ltd. EOD Prices,BOM530705,BSE
Florence Investech Limited-$ EOD Prices,BOM532518,BSE
Fluidomat Ltd. EOD Prices,BOM522017,BSE
Focus Industrial Resources Ltd. EOD Prices,BOM534757,BSE
Fomento Resorts & Hotels Ltd. EOD Prices,BOM503831,BSE
Foods & Inns Ltd. EOD Prices,BOM507552,BSE
Forbes & Company Ltd.-$ EOD Prices,BOM502865,BSE
Force Motors Ltd.-$ EOD Prices,BOM500033,BSE
Fortis Healthcare Ltd. EOD Prices,BOM532843,BSE
Fortis Malar Hospitals Limited EOD Prices,BOM523696,BSE
Fortune Financial Services (india) Ltd. EOD Prices,BOM530023,BSE
Fortune International Ltd. EOD Prices,BOM530213,BSE
Foseco India Ltd. EOD Prices,BOM500150,BSE
Foundry Fuel Products Ltd. EOD Prices,BOM513579,BSE
Fourth Generation Information Systems Ltd. EOD Prices,BOM532403,BSE
Fraser And Company Ltd EOD Prices,BOM539032,BSE
Fresenius Kabi Oncology Ltd. EOD Prices,BOM532545,BSE
Freshtrop Fruits Ltd. EOD Prices,BOM530077,BSE
Frontier Capital Ltd EOD Prices,BOM508980,BSE
Frontier Informatics Limited EOD Prices,BOM531225,BSE
Frontier Springs Ltd. EOD Prices,BOM522195,BSE
Frontline Business Solutions Ltd. EOD Prices,BOM521167,BSE
Frontline Securities Ltd. EOD Prices,BOM533213,BSE
Fruition Venture Ltd EOD Prices,BOM538568,BSE
Fulford (india) Ltd.-$ EOD Prices,BOM506803,BSE
Funny Software Ltd EOD Prices,BOM539169,BSE
Funworld & Tourism Development Ltd. EOD Prices,BOM531854,BSE
Fusion Fittings (i) Ltd. EOD Prices,BOM531760,BSE
Future Consumer Enterprise Limited EOD Prices,BOM533400,BSE
Future Enterprises Ltd EOD Prices,BOM523574,BSE
Future Enterprises Ltd EOD Prices,BOM570002,BSE
Future Lifestyle Fashions Ltd EOD Prices,BOM536507,BSE
Future Market Networks Ltd. EOD Prices,BOM533296,BSE
Futuristic Securities Ltd. EOD Prices,BOM523113,BSE
Futuristic Solutions Ltd. EOD Prices,BOM534063,BSE
G-tech Info-training Ltd. EOD Prices,BOM532139,BSE
G.d.trading & Agencies Ltd. EOD Prices,BOM504346,BSE
G.g.dandekar Machine Works Ltd. EOD Prices,BOM505250,BSE
G.k.consultants Ltd. EOD Prices,BOM531758,BSE
G.m.breweries Ltd. EOD Prices,BOM507488,BSE
G.s.auto International Ltd. EOD Prices,BOM513059,BSE
Gabriel India Ltd.-$ EOD Prices,BOM505714,BSE
Gaekwar Mills Ltd. EOD Prices,BOM502850,BSE
Gagan Gases Ltd. EOD Prices,BOM524624,BSE
Gagan Polycot India Ltd. EOD Prices,BOM531196,BSE
Gail (india) Ltd. EOD Prices,BOM532155,BSE
Gajanan Securities Services Ltd EOD Prices,BOM538609,BSE
Gajra Bevel Gears Ltd.-$ EOD Prices,BOM505711,BSE
Gala Print City Ltd EOD Prices,BOM539228,BSE
Galada Finance Ltd EOD Prices,BOM538881,BSE
Galada Power & Telecommunication Ltd. EOD Prices,BOM504697,BSE
Galaxy Agrico Exports Ltd. EOD Prices,BOM531911,BSE
Galaxy Bearings Ltd. EOD Prices,BOM526073,BSE
Galaxy Consolidated Finance Ltd. EOD Prices,BOM511128,BSE
Galaxy Entertainment Corporation Ltd.-$ EOD Prices,BOM506186,BSE
Gallantt Ispat Ltd. EOD Prices,BOM533265,BSE
Gallantt Metal Ltd. EOD Prices,BOM532726,BSE
Gamma Infoway Exalt Ltd. EOD Prices,BOM517391,BSE
Gammon India Ltd. EOD Prices,BOM509550,BSE
Gammon Infrastructure Projects Ltd. EOD Prices,BOM532959,BSE
Gandhi Special Tubes Ltd.-$ EOD Prices,BOM513108,BSE
Gandhinagar Hotels Ltd. EOD Prices,BOM530237,BSE
Gandhinagar Leasing & Finance Ltd. EOD Prices,BOM511489,BSE
Ganesh Benzoplast Ltd. EOD Prices,BOM500153,BSE
Ganesh Holdings Ltd. EOD Prices,BOM504397,BSE
Ganesh Housing Corporation Ltd.-$ EOD Prices,BOM526367,BSE
Ganesha Ecosphere Ltd. EOD Prices,BOM514167,BSE
Ganga Papers India Ltd. EOD Prices,BOM531813,BSE
Gangotri Iron & Steel Company Ltd. EOD Prices,BOM530945,BSE
Gangotri Textiles Ltd. EOD Prices,BOM521176,BSE
Ganon Trading Finance Co.ltd. EOD Prices,BOM512443,BSE
Garden Silk Mills Ltd. EOD Prices,BOM500155,BSE
Garg Furnace Ltd. EOD Prices,BOM530615,BSE
Garnet Construction Ltd. EOD Prices,BOM526727,BSE
Garnet International Ltd. EOD Prices,BOM512493,BSE
Garodia Chemicals Ltd. EOD Prices,BOM530161,BSE
Garwarbbph EOD Prices,BOM536591,BSE
Garware Marine Industries Ltd. EOD Prices,BOM509563,BSE
Garware Polyester Ltd. EOD Prices,BOM500655,BSE
Garware Synthetics Ltd. EOD Prices,BOM514400,BSE
Garware-wall Ropes Ltd. EOD Prices,BOM509557,BSE
Gateway Distriparks Ltd. EOD Prices,BOM532622,BSE
Gati Ltd. EOD Prices,BOM532345,BSE
Gayatri Bioorganics Ltd. EOD Prices,BOM524564,BSE
Gayatri Projects Ltd. EOD Prices,BOM532767,BSE
Gayatri Sugars Ltd. EOD Prices,BOM532183,BSE
Gayatri Tissue & Papers Ltd. EOD Prices,BOM512479,BSE
Gcm Capital Advisors Ltd EOD Prices,BOM538319,BSE
Gcm Commodity & Derivatives Ltd EOD Prices,BOM535917,BSE
Gcm Securities Ltd EOD Prices,BOM535431,BSE
Gdl Leasing & Finance Ltd. EOD Prices,BOM530855,BSE
Gee Gee Granites Ltd. EOD Prices,BOM515097,BSE
Gee Ltd. EOD Prices,BOM504028,BSE
Geecee Ventures Limited EOD Prices,BOM532764,BSE
Geefcee Finance Ltd. EOD Prices,BOM530389,BSE
Gei Industrial Systems Ltd. EOD Prices,BOM530743,BSE
Gem Spinners India Ltd. EOD Prices,BOM521133,BSE
Gemini Communication Ltd. EOD Prices,BOM532318,BSE
Gemmia Oiltech (india) Ltd. EOD Prices,BOM511652,BSE
Gemstone Investments Ltd. EOD Prices,BOM531137,BSE
Genera Agri Corp Ltd. EOD Prices,BOM590133,BSE
Genesys International Corporation Ltd. EOD Prices,BOM506109,BSE
Gennex Laboratories Ltd. EOD Prices,BOM531739,BSE
Genomic Valley Biotech Ltd EOD Prices,BOM539206,BSE
Genus Commu-trade Ltd. EOD Prices,BOM531939,BSE
Genus Paper & Boards Ltd EOD Prices,BOM538961,BSE
Genus Power Infrastructures Ltd.-$ EOD Prices,BOM530343,BSE
Geodesic Ltd. EOD Prices,BOM503699,BSE
Geojit Bnp Paribas Financial Services Ltd. EOD Prices,BOM532285,BSE
Geometric Ltd. EOD Prices,BOM532312,BSE
Geshipbbph EOD Prices,BOM536105,BSE
Gfl Financials India Limited EOD Prices,BOM531055,BSE
Ghcl Ltd. EOD Prices,BOM500171,BSE
Gi Engineering Solutions Ltd. EOD Prices,BOM533048,BSE
Gic Housing Finance Ltd. EOD Prices,BOM511676,BSE
Gilada Finance & Investments Ltd EOD Prices,BOM538788,BSE
Gillanders Arbuthnot & Co.ltd. EOD Prices,BOM532716,BSE
Gillette India Ltd. EOD Prices,BOM507815,BSE
Gini Silk Mills Ltd.-$ EOD Prices,BOM531744,BSE
Ginni Filaments Ltd. EOD Prices,BOM590025,BSE
Girdharilal Sugar & Allied Industries Ltd. EOD Prices,BOM507506,BSE
Gita Renewable Energy Ltd EOD Prices,BOM539013,BSE
Gitanjali Gems Ltd. EOD Prices,BOM532715,BSE
Givo Ltd. EOD Prices,BOM531613,BSE
Gkb Ophthalmics Ltd. EOD Prices,BOM533212,BSE
Glance Finance Ltd. EOD Prices,BOM531199,BSE
Glaxosmithkline Consumer Healthcare Ltd. EOD Prices,BOM500676,BSE
Glaxosmithkline Pharmaceuticals Ltd. EOD Prices,BOM500660,BSE
Glenmark Pharmaceuticals Ltd. EOD Prices,BOM532296,BSE
Glittek Granites Ltd. EOD Prices,BOM513528,BSE
Global Capital Markets Ltd. EOD Prices,BOM530263,BSE
Global Infratech & Finance Limited EOD Prices,BOM531463,BSE
Global Land Masters Corporation Ltd. EOD Prices,BOM531479,BSE
Global Offshore Services Ltd.-$ EOD Prices,BOM501848,BSE
Global Securities Ltd. EOD Prices,BOM530657,BSE
Global Vectra Helicorp Ltd. EOD Prices,BOM532773,BSE
Globus Constructors & Developers Limited EOD Prices,BOM526025,BSE
Globus Corporation Ltd.-$ EOD Prices,BOM531904,BSE
Globus Spirits Ltd. EOD Prices,BOM533104,BSE
Glodyne Technoserve Ltd. EOD Prices,BOM532672,BSE
Glory Polyfilms Ltd. EOD Prices,BOM532857,BSE
Gloster Ltd EOD Prices,BOM538595,BSE
Gloster Ltd. EOD Prices,BOM590085,BSE
Gmm Pfaudler Ltd. EOD Prices,BOM505255,BSE
Gmr Infrastructure Ltd. EOD Prices,BOM532754,BSE
Goa Carbon Ltd.-$ EOD Prices,BOM509567,BSE
Gocl Corporation Ltd-$ EOD Prices,BOM506480,BSE
Godavari Drugs Ltd. EOD Prices,BOM530317,BSE
Godawari Power & Ispat Ltd. EOD Prices,BOM532734,BSE
Godfrey Phillips India Ltd. EOD Prices,BOM500163,BSE
Godrej Consumer Products Ltd. EOD Prices,BOM532424,BSE
Godrej Industries Ltd. EOD Prices,BOM500164,BSE
Godrej Properties Ltd EOD Prices,BOM533150,BSE
Goenka Business & Finance Ltd EOD Prices,BOM538787,BSE
Goenka Diamond & Jewels Ltd. EOD Prices,BOM533189,BSE
Gogia Capital Services Limited EOD Prices,BOM531600,BSE
Gokak Textiles Ltd. EOD Prices,BOM532957,BSE
Gokaldas Exports Ltd. EOD Prices,BOM532630,BSE
Gokul Refoils & Solvent Ltd. EOD Prices,BOM532980,BSE
Gol Offshore Ltd. EOD Prices,BOM532786,BSE
Gold Coin Health Foods Ltd EOD Prices,BOM538542,BSE
Gold Line International Finvest Ltd EOD Prices,BOM538180,BSE
Gold Rock Investments Ltd. EOD Prices,BOM501111,BSE
Goldcrest Corporation Limited EOD Prices,BOM505576,BSE
Golden Carpets Ltd. EOD Prices,BOM531928,BSE
Golden Goenka Fincorp Limited EOD Prices,BOM530579,BSE
Golden Legand Leasing & Finance Ltd. EOD Prices,BOM509024,BSE
Golden Tobacco Ltd. EOD Prices,BOM500151,BSE
Goldiam International Ltd. EOD Prices,BOM526729,BSE
Goldman Sachs Banking Index Exchange Traded Scheme EOD Prices,BOM590106,BSE
Goldman Sachs Mutual Fund- Cpse Etf-growth Option EOD Prices,BOM538057,BSE
Goldman Sachs Nifty Exchange Traded Scheme EOD Prices,BOM590103,BSE
Goldman Sachs Nifty Junior Exchange Traded Scheme EOD Prices,BOM590104,BSE
Goldman Sachs Psu Bank Exchange Traded Scheme EOD Prices,BOM590108,BSE
Goldman Sachs S&p Cnx Nifty Shariah Index Exchange Traded Scheme EOD Prices,BOM590109,BSE
Goldstone Infratech Ltd. EOD Prices,BOM532439,BSE
Goldstone Technologies Ltd. EOD Prices,BOM531439,BSE
Golechha Global Finance Ltd. EOD Prices,BOM531360,BSE
Golkonda Aluminium Extrusions Ltd-$ EOD Prices,BOM513309,BSE
Golkunda Diamonds & Jewellery Ltd. EOD Prices,BOM523676,BSE
Gontermann-peipers (india) Ltd. EOD Prices,BOM504701,BSE
Goodluck Steel Tubes Ltd. EOD Prices,BOM530655,BSE
Goodricke Group Ltd. EOD Prices,BOM500166,BSE
Goodyear India Ltd. EOD Prices,BOM500168,BSE
Gopal Iron & Steels Co.(gujarat) Ltd. EOD Prices,BOM531913,BSE
Gopala Polyplast Ltd. EOD Prices,BOM526717,BSE
Goplee Infotech Ltd. EOD Prices,BOM531419,BSE
Gorani Industries Ltd. EOD Prices,BOM531608,BSE
Gothi Plascon (india) Ltd. EOD Prices,BOM531111,BSE
Govind Rubber Ltd.-$ EOD Prices,BOM509148,BSE
Gowra Leasing & Finance Ltd. EOD Prices,BOM530709,BSE
Goyal Associates Ltd. EOD Prices,BOM530663,BSE
Gp Petroleums Limited EOD Prices,BOM532543,BSE
Gpt Infraprojects Ltd. EOD Prices,BOM533761,BSE
Gr Cables Ltd. EOD Prices,BOM517564,BSE
Gradiente Infotainment Ltd. EOD Prices,BOM590126,BSE
Grandeur Products Ltd EOD Prices,BOM539235,BSE
Grandma Trading & Agencies Ltd. EOD Prices,BOM504369,BSE
Granules India Ltd.-$ EOD Prices,BOM532482,BSE
Graphite India Ltd. EOD Prices,BOM509488,BSE
Grasim Industries Ltd. EOD Prices,BOM500300,BSE
Gratex Industries Ltd. EOD Prices,BOM526751,BSE
Grauer & Weil (india) Ltd.-$ EOD Prices,BOM505710,BSE
Graviss Hospitality Ltd. EOD Prices,BOM509546,BSE
Gravita India Ltd. EOD Prices,BOM533282,BSE
Gravity (india) Ltd.-$ EOD Prices,BOM532015,BSE
Great Eastern Shipping Co.ltd. EOD Prices,BOM500620,BSE
Greaves Cotton Ltd. EOD Prices,BOM501455,BSE
Green Field Agri Ventures Ltd EOD Prices,BOM538743,BSE
Green Fire Agri Commodities Ltd. EOD Prices,BOM590057,BSE
Greencrest Financial Services Limited EOD Prices,BOM531737,BSE
Greenlam Industries Ltd EOD Prices,BOM538979,BSE
Greenply Industries Ltd. EOD Prices,BOM526797,BSE
Greycells Education Limited EOD Prices,BOM508918,BSE
Grindwell Norton Ltd.-$ EOD Prices,BOM506076,BSE
Grm Overseas Ltd. EOD Prices,BOM531449,BSE
Gromo Trade & Consultancy Ltd EOD Prices,BOM501314,BSE
Grp Ltd. EOD Prices,BOM509152,BSE
Gruh Finance Ltd. EOD Prices,BOM511288,BSE
Gsb Finance Ltd. EOD Prices,BOM511543,BSE
Gsl Nova Petrochemicals Limited EOD Prices,BOM530605,BSE
Gsl Securities Ltd. EOD Prices,BOM530469,BSE
Gss Infotech Ltd. EOD Prices,BOM532951,BSE
Gtl Infrastructure Ltd. EOD Prices,BOM532775,BSE
Gtl Ltd. EOD Prices,BOM500160,BSE
Gtn Industries Ltd. EOD Prices,BOM500170,BSE
Gtn Textiles Ltd. EOD Prices,BOM532744,BSE
Gufic Biosciences Ltd. EOD Prices,BOM509079,BSE
Gujarat Alkalies & Chemicals Ltd. EOD Prices,BOM530001,BSE
Gujarat Ambuja Exports Ltd. EOD Prices,BOM524226,BSE
Gujarat Apollo Industries Ltd. EOD Prices,BOM522217,BSE
Gujarat Automotive Gears Ltd. EOD Prices,BOM505712,BSE
Gujarat Bitumen Ltd EOD Prices,BOM539009,BSE
Gujarat Borosil Ltd. EOD Prices,BOM523768,BSE
Gujarat Carbon & Industries Ltd. EOD Prices,BOM506457,BSE
Gujarat Containers Ltd. EOD Prices,BOM513507,BSE
Gujarat Cotex Ltd. EOD Prices,BOM514386,BSE
Gujarat Craft Industries Ltd. EOD Prices,BOM526965,BSE
Gujarat Credit Corporation Ltd. EOD Prices,BOM511441,BSE
Gujarat Fluorochemicals Ltd. EOD Prices,BOM500173,BSE
Gujarat Foils Ltd. EOD Prices,BOM531410,BSE
Gujarat Gas Co.ltd. EOD Prices,BOM523477,BSE
Gujarat Gas Ltd EOD Prices,BOM539336,BSE
Gujarat Hotels Ltd. EOD Prices,BOM507960,BSE
Gujarat Industries Power Co.ltd. EOD Prices,BOM517300,BSE
Gujarat Intrux Ltd.-$ EOD Prices,BOM517372,BSE
Gujarat Investa Ltd. EOD Prices,BOM531341,BSE
Gujarat Lease Financing Ltd. EOD Prices,BOM500174,BSE
Gujarat Meditech Ltd. EOD Prices,BOM524754,BSE
Gujarat Metallic Coal & Coke Ltd.-$ EOD Prices,BOM531881,BSE
Gujarat Mineral Development Corporation Ltd. EOD Prices,BOM532181,BSE
Gujarat Narmada Flyash Co.ltd. EOD Prices,BOM526598,BSE
Gujarat Narmada Valley Fertilizers & Chemicals Ltd. EOD Prices,BOM500670,BSE
Gujarat Natural Resources Limited EOD Prices,BOM513536,BSE
Gujarat Nre Coke Ltd EOD Prices,BOM570003,BSE
Gujarat Nre Coke Ltd. EOD Prices,BOM512579,BSE
Gujarat Organics Ltd. EOD Prices,BOM501368,BSE
Gujarat Petrosynthese Ltd. EOD Prices,BOM506858,BSE
Gujarat Pipavav Port Ltd. EOD Prices,BOM533248,BSE
Gujarat Poly-avx Electronics Ltd. EOD Prices,BOM517288,BSE
Gujarat Raffia Industries Ltd. EOD Prices,BOM523836,BSE
Gujarat Sidhee Cement Ltd. EOD Prices,BOM518029,BSE
Gujarat State Fertilizers & Chemicals Ltd. EOD Prices,BOM500690,BSE
Gujarat State Financial Corporation Ltd. EOD Prices,BOM532160,BSE
Gujarat State Petronet Ltd. EOD Prices,BOM532702,BSE
Gujarat Terce Laboratories Ltd. EOD Prices,BOM524314,BSE
Gujarat Themis Biosyn Ltd. EOD Prices,BOM506879,BSE
Gujarat Toolroom Ltd. EOD Prices,BOM513337,BSE
Gujchem Distillers India Ltd. EOD Prices,BOM506640,BSE
Gulf Oil Lubricants India Ltd EOD Prices,BOM538567,BSE
Gulshan Chemfill Ltd. EOD Prices,BOM532425,BSE
Gulshan Polyols Ltd. EOD Prices,BOM532457,BSE
Gupta Carpets International Ltd. EOD Prices,BOM514360,BSE
Gupta Synthetics Ltd. EOD Prices,BOM514116,BSE
Gv Films Ltd. EOD Prices,BOM523277,BSE
Gvk Power & Infrastructure Ltd. EOD Prices,BOM532708,BSE
Gyan Developers & Builders Ltd. EOD Prices,BOM530141,BSE
Gyscoal Alloys Ltd. EOD Prices,BOM533275,BSE
H.k. Trade International Ltd EOD Prices,BOM539337,BSE
H.p.cotton Textile Mills Ltd. EOD Prices,BOM502873,BSE
H.s.india Ltd. EOD Prices,BOM532145,BSE
Haldyn Glass Ltd-$ EOD Prices,BOM515147,BSE
Hanjer Fibres Ltd. EOD Prices,BOM514308,BSE
Hanung Toys & Textiles Ltd. EOD Prices,BOM532770,BSE
Hardcastle & Waud Mfg.co.ltd. EOD Prices,BOM509597,BSE
Hari Govind International Ltd. EOD Prices,BOM531971,BSE
Haria Apparels Ltd EOD Prices,BOM538081,BSE
Haria Exports Ltd.-$ EOD Prices,BOM512604,BSE
Harita Seating Systems Ltd.-$ EOD Prices,BOM590043,BSE
Hariyana Ship Breakers Ltd.-$ EOD Prices,BOM526931,BSE
Harmony Capital Services Ltd. EOD Prices,BOM530055,BSE
Harrisons Malayalam Ltd. EOD Prices,BOM500467,BSE
Haryana Capfin Ltd. EOD Prices,BOM532855,BSE
Haryana Financial Corporation Ltd. EOD Prices,BOM530927,BSE
Haryana Leather Chemicals Ltd. EOD Prices,BOM524080,BSE
Haryana Texprints (overseas) Limited EOD Prices,BOM514296,BSE
Hasti Finance Ltd. EOD Prices,BOM531387,BSE
Hathway Bhawani Cabletel & Datacom Ltd. EOD Prices,BOM509073,BSE
Hathway Cable & Datacom Ltd EOD Prices,BOM533162,BSE
Hatsun Agro Product Ltd. EOD Prices,BOM531531,BSE
Havells India Ltd. EOD Prices,BOM517354,BSE
Hawa Engineers Ltd EOD Prices,BOM539176,BSE
Hawkins Cookers Ltd.-$ EOD Prices,BOM508486,BSE
Hazoor Multi Projects Ltd.-$ EOD Prices,BOM532467,BSE
Hb Estate Developers Ltd. EOD Prices,BOM532334,BSE
Hb Leasing & Finance Co.ltd. EOD Prices,BOM508956,BSE
Hb Portfolio Ltd. EOD Prices,BOM532333,BSE
Hb Stockholdings Ltd. EOD Prices,BOM532216,BSE
Hbl Power Systems Ltd.-$ EOD Prices,BOM517271,BSE
Hcl Infosystems Ltd. EOD Prices,BOM500179,BSE
Hcl Technologies Ltd. EOD Prices,BOM532281,BSE
Hdfc Bank Ltd EOD Prices,BOM500180,BSE
Hdfc Focused Equity Fund Plan A - Direct Option - Growth EOD Prices,BOM539139,BSE
Hdfc Focused Equity Fund Plan A - Direct Option- Dividend Option EOD Prices,BOM538981,BSE
Hdfc Focused Equity Fund Plan A - Direct Option- Growth Option EOD Prices,BOM538980,BSE
Hdfc Focused Equity Fund Plan A- Direct Option - Dividend Payout EOD Prices,BOM539140,BSE
Hdfc Focused Equity Fund Plan A-regular Option - Dividend Option EOD Prices,BOM538983,BSE
Hdfc Focused Equity Fund Plan A-regular Option- Growth Option EOD Prices,BOM538982,BSE
Hdfc Focused Equity Fund Plan B - Regular Option- Dividend Payout EOD Prices,BOM539138,BSE
Hdfc Focused Equity Fund Plan B - Regular Option- Growth EOD Prices,BOM539134,BSE
Hdfc Mutual Fund - Hdfc Rajiv Gandhi Equity Savings Scheme - Series 2 - Regular Plan - G O EOD Prices,BOM537866,BSE
Hdfc Mutual Fund - Hdfc Rajiv Gandhi Equity Savings Scheme - Series 2- Direct Plan- Dvdd P O EOD Prices,BOM537869,BSE
Hdfc Mutual Fund - Hdfc Rajiv Gandhi Equity Savings Scheme - Series 2- Direct Plan- Growth O EOD Prices,BOM537868,BSE
Hdfc Mutual Fund - Hdfc Rajiv Gandhi Equity Savings Scheme - Series 2-regular Plan- D P O EOD Prices,BOM537867,BSE
Healthfore Technologies Ltd. EOD Prices,BOM533525,BSE
Healthy Investments Ltd. EOD Prices,BOM503689,BSE
Heera Ispat Ltd. EOD Prices,BOM526967,BSE
Heg Ltd. EOD Prices,BOM509631,BSE
Heidelbergcement India Ltd. EOD Prices,BOM500292,BSE
Helios & Matheson Information Technology Ltd.-$ EOD Prices,BOM532347,BSE
Hella India Lighting Ltd. EOD Prices,BOM520026,BSE
Helpage Finlease Ltd EOD Prices,BOM539174,BSE
Hem Holdings & Trading Ltd. EOD Prices,BOM505520,BSE
Hemang Resources Ltd EOD Prices,BOM531178,BSE
Hemo Organic Limited EOD Prices,BOM524590,BSE
Hercules Hoists Ltd. EOD Prices,BOM505720,BSE
Heritage Foods Limited EOD Prices,BOM519552,BSE
Hero Motocorp Ltd. EOD Prices,BOM500182,BSE
Hester Biosciences Ltd. EOD Prices,BOM524669,BSE
Hexa Tradex Ltd. EOD Prices,BOM534328,BSE
Hexaware Technologies Ltd. EOD Prices,BOM532129,BSE
High Energy Batteries (india) Ltd. EOD Prices,BOM504176,BSE
High Ground Enterprise Ltd EOD Prices,BOM517080,BSE
High Street Filatex Ltd. EOD Prices,BOM531301,BSE
Hikal Ltd. EOD Prices,BOM524735,BSE
Hil Ltd. EOD Prices,BOM509675,BSE
Hilton Metal Forging Ltd. EOD Prices,BOM532847,BSE
Himachal Fibres Ltd. EOD Prices,BOM514010,BSE
Himachal Futuristic Communications Ltd. EOD Prices,BOM500183,BSE
Himadri Chemicals & Industries Ltd. EOD Prices,BOM500184,BSE
Himalaya Granites Ltd.-$ EOD Prices,BOM513723,BSE
Himalchuli Food Products Ltd. EOD Prices,BOM511169,BSE
Himalya International Ltd. EOD Prices,BOM526899,BSE
Himatsingka Seide Ltd. EOD Prices,BOM514043,BSE
Hind Aluminium Industries Ltd.-$ EOD Prices,BOM531979,BSE
Hind Commerce Ltd EOD Prices,BOM538652,BSE
Hind Industries Ltd. EOD Prices,BOM526307,BSE
Hind Rectifiers Ltd. EOD Prices,BOM504036,BSE
Hind Securities & Credits Ltd EOD Prices,BOM539114,BSE
Hind Syntex Ltd. EOD Prices,BOM503881,BSE
Hindalco Industries Ltd. EOD Prices,BOM500440,BSE
Hindoostan Mills Ltd. EOD Prices,BOM509895,BSE
Hinduja Foundries Ltd.-$ EOD Prices,BOM505982,BSE
Hinduja Global Solutions Ltd. EOD Prices,BOM532859,BSE
Hinduja Ventures Ltd. EOD Prices,BOM500189,BSE
Hindustan Adhesives Ltd. EOD Prices,BOM514428,BSE
Hindustan Appliances Ltd. EOD Prices,BOM531918,BSE
Hindustan Bio Sciences Ltd. EOD Prices,BOM532041,BSE
Hindustan Composites Ltd. EOD Prices,BOM509635,BSE
Hindustan Construction Co.ltd. EOD Prices,BOM500185,BSE
Hindustan Copper Ltd. EOD Prices,BOM513599,BSE
Hindustan Dorr-oliver Ltd. EOD Prices,BOM509627,BSE
Hindustan Everest Tools Ltd. EOD Prices,BOM505725,BSE
Hindustan Fluorocarbons Ltd. EOD Prices,BOM524013,BSE
Hindustan Foods Ltd. EOD Prices,BOM519126,BSE
Hindustan Hardy Spicer Ltd. EOD Prices,BOM505893,BSE
Hindustan Housing Co.ltd. EOD Prices,BOM509650,BSE
Hindustan Media Ventures Ltd. EOD Prices,BOM533217,BSE
Hindustan Motors Ltd. EOD Prices,BOM500500,BSE
Hindustan Oil Exploration Co.ltd. EOD Prices,BOM500186,BSE
Hindustan Organic Chemicals Ltd. EOD Prices,BOM500449,BSE
Hindustan Petroleum Corporation Ltd. EOD Prices,BOM500104,BSE
Hindustan Tin Works Ltd.-$ EOD Prices,BOM530315,BSE
Hindustan Unilever Ltd. EOD Prices,BOM500696,BSE
Hindustan Wires Ltd. EOD Prices,BOM504713,BSE
Hindustan Zinc Ltd. EOD Prices,BOM500188,BSE
Hindusthan National Glass & Industries Ltd.-$ EOD Prices,BOM515145,BSE
Hindusthan Udyog Ltd. EOD Prices,BOM513039,BSE
Hipolin Ltd. EOD Prices,BOM530853,BSE
Hira Automobiles Ltd. EOD Prices,BOM531743,BSE
Hira Ferro Alloys Ltd. EOD Prices,BOM533256,BSE
Hiran Orgochem Ltd.-$ EOD Prices,BOM506170,BSE
